Cohort,Year,Cohort type,Format,Start Date,End Date,Dynamic,Value before,Value after,Change,% Change,Participants
HE-Andrejewski-2024,2024,Higher Ed,Course,1/20/2024,4/21/2024,D1,4,4.7,0.7,18%,14
CWF-Bloom-2024,2024,AWCS,Retreat,6/10/2024,6/14/2024,D5,3.2,4.1,0.9,28%,17
CWF-Bloom-2024,2024,AWCS,Retreat,6/10/2024,6/14/2024,D6,3.2,4.2,1,31%,17
CWF-Bloom-2024,2024,AWCS,Retreat,6/10/2024,6/14/2024,D4,3.4,4.2,0.8,24%,17
CWF-Bloom-2024,2024,AWCS,Retreat,6/10/2024,6/14/2024,D8,3.6,4.4,0.8,22%,17
CW-Winter-2025,2025,Higher Ed,6-week,1/29/2025,3/12/2025,D3,3.6,4.1,0.5,14%,21
CWF-Bloom-2024,2024,AWCS,Retreat,6/10/2024,6/14/2024,D7,3.8,4.1,0.3,8%,17
CWF-Bloom-2024,2024,AWCS,Retreat,6/10/2024,6/14/2024,D2,4.2,4.5,0.3,7%,17
CWF-Bloom-2024,2024,AWCS,Retreat,6/10/2024,6/14/2024,D1,4.8,4.9,0.1,2%,17
CWF-Elohee-2024,2024,AWCS,Retreat,5/21/2024,5/25/2024,D4,3.5,4.3,0.8,23%,21
CWF-Elohee-2024,2024,AWCS,Retreat,5/21/2024,5/25/2024,D6,3.6,4.5,0.9,25%,21
CWF-Elohee-2024,2024,AWCS,Retreat,5/21/2024,5/25/2024,D7,3.6,4.4,0.8,22%,21
CWF-Elohee-2024,2024,AWCS,Retreat,5/21/2024,5/25/2024,D5,3.8,4.6,0.8,21%,21
CWF-Bloom-2024,2024,AWCS,Retreat,6/10/2024,6/14/2024,D3,3.8,4.4,0.6,16%,17
CWF-Elohee-2024,2024,AWCS,Retreat,5/21/2024,5/25/2024,D8,4.1,4.7,0.6,15%,21
CWF-Elohee-2024,2024,AWCS,Retreat,5/21/2024,5/25/2024,D2,4.2,4.6,0.4,10%,21
CWF-Elohee-2024,2024,AWCS,Retreat,5/21/2024,5/25/2024,D1,4.5,4.6,0.1,2%,21
CWF-Omega-2024,2024,AWCS,Retreat,6/2/2024,6/6/2024,D4,3.1,3.7,0.6,19%,25
CWF-Omega-2024,2024,AWCS,Retreat,6/2/2024,6/6/2024,D6,3.2,4,0.8,25%,25
CWF-Omega-2024,2024,AWCS,Retreat,6/2/2024,6/6/2024,D7,3.2,4.1,0.9,28%,25
CWF-Elohee-2024,2024,AWCS,Retreat,5/21/2024,5/25/2024,D3,4,4.4,0.4,10%,21
CWF-Omega-2024,2024,AWCS,Retreat,6/2/2024,6/6/2024,D5,3.8,3.9,0.1,3%,25
CWF-Omega-2024,2024,AWCS,Retreat,6/2/2024,6/6/2024,D8,3.8,4.3,0.5,13%,25
CWF-Omega-2024,2024,AWCS,Retreat,6/2/2024,6/6/2024,D2,3.9,4.2,0.3,8%,25
CWF-Omega-2024,2024,AWCS,Retreat,6/2/2024,6/6/2024,D1,4.7,4.9,0.2,4%,25
CWP-Omega-Fall2022,2022,AWCS,Retreat,9/1/2022,10/15/2022,D6,2.3,4,1.7,74%,25
CWP-Omega-Fall2022,2022,AWCS,Retreat,9/1/2022,10/15/2022,D7,2.8,3.9,1.1,39%,25
CWP-Omega-Fall2022,2022,AWCS,Retreat,9/1/2022,10/15/2022,D4,3,4,1,33%,25
CWP-Omega-Fall2022,2022,AWCS,Retreat,9/1/2022,10/15/2022,D5,3.1,3.7,0.6,19%,25
